,Unnamed: 0.1,Unnamed: 0,seq,secs,nsecs,p_x,p_y,p_z,o_x,o_y,o_z,x_calibrated,y_calibrated
1,267501,267501,0,1686578209,577794075,-0.0001487974368501,-0.0001616428344277,-0.0003606906975619,-0.0466803993375784,0.0487125094100366,0.0090095398195497,55.55508531382539,-55.62304814786575
2,267502,267502,0,1686578218,655154943,0.8763411641120911,0.3569121062755584,0.1130840703845024,-0.0716013145771661,0.026304764908106,-0.0928753121521456,55.58285643524414,-54.68213356792898
3,267503,267503,0,1686578219,58604002,1.1336990594863892,0.2772572636604309,0.032236348837614,-0.0845103526533773,0.0413251005082885,-0.224448521482572,55.75866452541276,-54.47565715953954
4,267504,267504,0,1686578220,67208052,1.8630045652389529,0.0290100015699863,0.0895883366465568,-0.0708225704342606,0.0562938898634398,-0.3538389617553114,56.28043672009014,-53.91079839732354
5,267505,267505,0,1686578221,75838089,2.585005283355713,-0.3186801373958587,0.0745951384305954,-0.05065811850567,0.0398889774031759,-0.447421919817036,56.88951543671435,-53.3898180402422
6,267506,267506,0,1686578222,286127090,3.436478853225708,-0.9720062613487244,0.344641625881195,-0.0283590135855771,-0.0093353266254088,-0.4577323780671124,57.833413101399124,-52.88457601530713
7,267507,267507,0,1686578223,294750929,4.196233749389648,-1.6645718812942505,0.3294220566749573,-0.054245358472109,0.0276978557934419,-0.4360746427760689,58.77329804348572,-52.46786525006178
8,267508,267508,0,1686578224,303328037,5.102416038513184,-2.251682996749878,0.4317853450775146,-0.0749580355468247,0.0172011674620065,-0.4476853503990168,59.6769285613383,-51.87938391635499
9,267509,267509,0,1686578225,311991930,5.899999618530273,-3.0742225646972656,0.461730420589447,-0.0524085527561134,0.0162165873755642,-0.4838505790947896,60.75146641420743,-51.48215314532323
10,267510,267510,0,1686578226,320535898,6.535373210906982,-3.935115575790405,0.5121069550514221,-0.054436143617495,0.0386509211938559,-0.505783474860234,61.79591772349692,-51.249513354236285
11,267511,267511,0,1686578227,329133034,7.123040199279785,-4.97731351852417,0.513069212436676,-0.09035677305516,0.0239524036758188,-0.5111353284336463,62.98653473641873,-51.13154762488662
12,267512,267512,0,1686578228,337831974,7.740355968475342,-5.9513702392578125,0.5137636661529541,-0.0594364939813877,0.0147946177786591,-0.5107307993291821,64.12674710187312,-50.95902893004637
13,267513,267513,0,1686578229,346373081,8.461071968078613,-6.830297946929932,0.514136791229248,-0.0925786220542017,0.0264097849495672,-0.51235094878224,65.22159070045048,-50.65364051216254
14,267514,267514,0,1686578230,355005980,9.129112243652344,-7.767698764801025,0.5141377449035645,-0.0798103593000336,0.0162819212175486,-0.506995141037311,66.34870210463141,-50.41994899418497
15,267515,267515,0,1686578231,363588095,9.79776382446289,-8.699847221374512,0.5141875743865967,-0.1179680430278193,0.012260858694684,-0.478733857545256,67.47125413249874,-50.18358628200343
16,267516,267516,0,1686578232,372189999,10.497076988220217,-9.645565032958984,0.514410138130188,-0.0658841138900127,0.0247445558646401,-0.4508676081052284,68.6185859769192,-49.92464900552983
17,267517,267517,0,1686578233,380784035,11.337809562683104,-10.47475814819336,0.514115571975708,-0.0743414732382556,0.0488747475511286,-0.4392116217628287,69.71629546820614,-49.489450856742216
18,267518,267518,0,1686578234,389389992,12.041333198547363,-11.34230899810791,0.5138591527938843,-0.0669505001490163,0.020661714828487,-0.4394726817926343,70.79379086584684,-49.19518277769166
19,267519,267519,0,1686578235,397994041,12.784590721130373,-12.22115993499756,0.5134397149085999,-0.0632289743812175,0.0702574062716361,-0.4487677963245818,71.89764349237329,-48.86911621420865
20,267520,267520,0,1686578236,406586885,13.530741691589355,-13.12303352355957,0.5127770304679871,-0.05000936203092,0.0680347759211347,-0.453465598942022,73.02372762132651,-48.54966015350938
21,267521,267521,0,1686578237,415251017,14.139792442321776,-14.047465324401855,0.5119577050209045,-0.0342635988862308,0.0572306581021874,-0.4791130706385263,74.11518166821847,-48.36466800723854
22,267522,267522,0,1686578238,423831940,14.90554904937744,-14.957663536071776,0.5107000470161438,-0.0966703667081566,0.0145485112787252,-0.4416187767332535,75.25678121917603,-48.03060811359788
23,267523,267523,0,1686578239,432420015,15.611723899841309,-15.887940406799316,0.509292483329773,-0.0860250149487101,0.0288202229348443,-0.4572712971976121,76.39273280385791,-47.75911671413543
24,267524,267524,0,1686578240,642729044,16.39663314819336,-16.75567626953125,0.5067870616912842,-0.0621724806452589,0.0123165174105923,-0.4803484773204491,77.5031843383558,-47.39040066254136
25,267525,267525,0,1686578241,853055000,17.025339126586914,-17.66558837890625,0.5035784244537354,-0.0131792458929717,0.0400648490243229,-0.528947446580722,78.58925093341887,-47.181494659978156
26,267526,267526,0,1686578243,265106916,17.583646774291992,-18.59082221984864,0.5003204941749573,-0.001181745778621,0.0405941224808535,-0.4985143516323994,79.66095701023022,-47.043139221409334
27,267527,267527,0,1686578244,72001934,17.80248260498047,-18.814617156982425,0.4994087219238281,-0.0044215123244236,0.0366103678104635,-0.5905879641899808,79.95395974535582,-46.93303296142068
28,267528,267528,0,1686578245,484040976,18.274974822998047,-19.269620895385746,0.4967325329780578,-0.0100964726093015,0.0510630843307469,-0.5047376215516964,80.56077835190777,-46.68392454046953
29,267529,267529,0,1686578246,896110058,19.038549423217773,-20.120683670043945,0.4915858209133148,-0.0371454863130449,0.0381642752816138,-0.4424913397679158,81.64734452126538,-46.32790704530803
30,267530,267530,0,1686578248,106431007,19.802125930786133,-20.982234954833984,0.4861039519309997,-0.0386608418794515,0.0498251204418141,-0.4278088397052666,82.74350581323165,-45.97609620318187
