,Unnamed: 0,seq,secs,nsecs,p_x,p_y,p_z,o_x,o_y,o_z
314321,314321,0,1686580836,953205109,-13.710189819335938,-16.671785354614258,-0.3671156466007232,0.1229405144394061,-0.1732094815751138,-0.8054922766922039
314324,314324,0,1686580839,373864889,-14.64892578125,-19.32715606689453,-0.3005787134170532,0.1431876341958127,-0.1808219336807874,-0.7899397942268535
314329,314329,0,1686580842,803128958,-16.153663635253906,-23.15492820739746,-0.3001439869403839,0.0966535932491573,-0.105524558814139,-0.8829233476550326
315482,315482,0,1686580805,484724045,0.0005255758878774,9.58529199124314e-05,-0.0002691036497708,-0.1410993473689231,0.0330113012578124,0.5497787444396391
315483,315483,0,1686580806,896785975,0.0241423714905977,0.1669457256793975,-0.0675643905997276,-0.1942616703641988,-0.0069157968909487,0.6542144683424898
315484,315484,0,1686580812,343235016,-0.2775653004646301,0.2577443718910217,0.1114202439785003,-0.2119041945871316,-0.0496034860966054,0.7811522829042449
315485,315485,0,1686580812,544970989,-0.2799810171127319,0.3405560851097107,0.0353887490928173,-0.2208381566561183,-0.011481654740892,0.8777252621687853
315486,315486,0,1686580812,948457956,-0.2623665332794189,0.3667349815368652,0.0470931380987167,-0.2065947314506152,0.0207959297923062,0.9465357514891708
315487,315487,0,1686580813,150178909,-0.3922610282897949,0.3191797733306885,0.0211620908230543,-0.2046013245453309,0.047750105292921,0.9699135969391576
315488,315488,0,1686580813,553659916,-0.6137981414794922,0.1325886696577072,0.0268114320933818,-0.2060020830004136,0.0707506737809283,0.9757766716795592
315489,315489,0,1686580814,965759993,-1.5572075843811035,-0.119548000395298,-0.2787152230739593,0.2119946512724322,-0.0464602361807095,-0.9761586293778248
315490,315490,0,1686580816,175988913,-2.5155787467956543,-0.4457139372825622,-0.4808220863342285,-0.1891821813643644,0.0572991760026031,0.9765647896609
315491,315491,0,1686580817,386358976,-3.557086229324341,-0.2509030699729919,-0.4785206913948059,-0.2025490351531986,0.04876607016235,0.965925028397404
315492,315492,0,1686580818,596605062,-4.6463623046875,0.2299990653991699,-0.4780336022377014,-0.161971448307842,0.0176426125345059,0.9774006184241076
315493,315493,0,1686580819,201822996,-5.074512481689453,0.2815603017807007,-0.4776600897312164,-0.1036368955998054,0.0230265243599836,0.9644899776543155
315494,315494,0,1686580819,807044029,-5.80661678314209,0.4189438819885254,-0.4777994751930237,-0.2063676461469465,0.0422230174169564,0.9693211049778448
315495,315495,0,1686580820,210372925,-6.266517162322998,0.4212129116058349,-0.4779770970344543,-0.2085907341238239,0.0585213508274613,0.9759162844772636
315496,315496,0,1686580820,613820076,-6.781238079071045,0.2577081620693207,-0.4783733487129211,0.2104618964574744,-0.0758964664640529,-0.9640183040812476
315497,315497,0,1686580821,17313004,-7.114020824432373,-0.0104152914136648,-0.4785385429859161,0.211480262005856,-0.1104455958155204,-0.9385082036317416
315498,315498,0,1686580821,420696974,-7.369838237762451,-0.3773493766784668,-0.4786903858184814,0.1833558318770621,-0.119692709723074,-0.906623970596182
315499,315499,0,1686580821,824214935,-7.557153701782227,-0.8721154928207397,-0.4789078831672668,0.1597794013741058,-0.1181791618421196,-0.8488907354738734
315500,315500,0,1686580822,832779884,-7.8924241065979,-1.9869381189346316,-0.4793327152729034,0.1052389775440344,-0.1234705862797496,-0.7804041204976472
315501,315501,0,1686580823,841362000,-8.30225944519043,-3.0608129501342773,-0.4622699320316314,0.1087674540126153,-0.1549668755812747,-0.7878852970065847
315502,315502,0,1686580824,849970102,-8.744141578674316,-4.118281841278076,-0.4799378216266632,0.0732221886671537,-0.1632485848836424,-0.790592216479636
315503,315503,0,1686580825,858550072,-9.222858428955078,-5.184394359588623,-0.4795772433280945,0.056601765233128,-0.202052241986993,-0.7805577143037017
315504,315504,0,1686580826,867151022,-9.667434692382812,-6.328735828399658,-0.4801526069641113,0.111760154267293,-0.1624455377519601,-0.7920279281979469
315505,315505,0,1686580827,875750065,-10.19567584991455,-7.274941444396973,-0.4798443019390106,0.1099828276824137,-0.1655088575498165,-0.7763796746722376
315506,315506,0,1686580828,884383917,-10.716580390930176,-8.224183082580566,-0.479084700345993,0.0559925209231054,-0.1925235174970402,-0.7338418980735483
315507,315507,0,1686580829,287893057,-10.880766868591309,-8.597469329833984,-0.4778719544410705,0.1102841595544971,-0.1502281572136814,-0.8338423455230156
315508,315508,0,1686580830,296426058,-11.422991752624512,-9.557003021240234,-0.4759945273399353,0.1426377222386368,-0.1263673902086337,-0.8748362828767828
315509,315509,0,1686580830,901576042,-11.73210620880127,-10.18716049194336,-0.4732642769813537,0.1344272208333219,-0.1368825067211765,-0.8043320402095394
315510,315510,0,1686580831,910186052,-12.030341148376465,-11.28964900970459,-0.4705029129981994,0.1039966995080911,-0.098543350649712,-0.7989247598963932
315511,315511,0,1686580832,918785095,-12.31856632232666,-12.318439483642578,-0.4536737203598022,0.1523091264029474,-0.1572167994259453,-0.7845069235778486
315512,315512,0,1686580833,927467108,-12.580138206481934,-13.434557914733888,-0.3775802552700043,0.1296238926032618,-0.1324132650409459,-0.7930937975170868
315513,315513,0,1686580834,936006069,-12.869793891906738,-14.523250579833984,-0.3529850244522095,0.1188503855472681,-0.1529923372248493,-0.804604239075494
315514,315514,0,1686580835,944701910,-13.279688835144045,-15.52020263671875,-0.3309785425662994,0.089098346294059,-0.1533856630747862,-0.8201951643466581
315516,315516,0,1686580837,961819887,-14.15357494354248,-17.70411491394043,-0.3696435987949371,0.1543041435807019,-0.1749263677188848,-0.8191853189860775
